id_x,host_response_rate,host_is_superhost,host_listings_count,accommodates,bedrooms,beds,maximum_nights,price,review_scores_rating,review_scores_cleanliness,review_scores_location,number_of_reviews,neighbourhood,property_type,neighbourhood_freq,property_type_freq
1265067927899123609,1.0,0,2.0,2.0,1.0,1.0,365.0,87.0,4.75,4.5,5.0,16,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1265068174713578733,0.86,0,273.0,2.0,1.0,1.0,365.0,139.0,4.5,4.33,4.33,36,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1265360923310374486,0.8,0,4.0,4.0,2.0,2.0,365.0,181.0,5.0,5.0,5.0,4,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1266660216082672696,0.7,0,1.0,4.0,2.0,2.0,365.0,299.0,5.0,5.0,5.0,4,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1266713594729955444,1.0,0,1.0,4.0,3.0,4.0,365.0,225.0,5.0,5.0,5.0,1,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1266794270593217144,1.0,0,3.0,2.0,1.0,1.0,365.0,90.0,5.0,5.0,4.67,9,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267169253572108386,0.5,0,1.0,2.0,1.0,1.0,365.0,105.0,5.0,5.0,5.0,9,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267198875895851009,0.98,0,5.0,3.0,1.0,1.0,365.0,46.0,3.8,3.2,3.8,25,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267218210245063892,0.98,0,5.0,2.0,1.0,2.0,365.0,35.0,3.5,2.0,4.0,4,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267318373895500242,1.0,1,3.0,2.0,1.0,1.0,10.0,62.0,4.929999999999999,4.87,4.8,225,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267393774123017047,1.0,0,58.0,4.0,2.0,2.0,180.0,126.0,4.87,4.91,4.91,529,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1267393824273810224,1.0,0,1.0,2.0,1.0,1.0,365.0,280.0,5.0,4.0,5.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1267456341586860457,0.0,0,1.0,2.0,1.0,1.0,365.0,93.0,4.75,5.0,4.5,16,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1267561872538562975,0.59,0,1.0,2.0,1.0,2.0,365.0,174.0,4.7,4.52,4.809999999999999,729,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1267998474775660490,1.0,0,3.0,2.0,1.0,1.0,60.0,66.0,4.08,3.92,4.52,625,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1268113378961553884,0.54,0,1.0,2.0,1.0,2.0,365.0,151.0,5.0,4.67,4.33,9,Unknown,Entire condo,0.5945340501792115,0.08109318996415771
1268698780763818213,1.0,0,1.0,3.0,2.0,2.0,31.0,200.0,5.0,5.0,5.0,1,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1269286144440708830,1.0,1,7.0,2.0,0.0,1.0,30.0,94.0,4.82,4.82,4.82,1156,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1270313915114764129,1.0,0,2.0,2.0,1.0,1.0,365.0,129.0,5.0,5.0,5.0,1,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1270332690813789878,1.0,0,2.0,2.0,1.0,1.0,1125.0,129.0,4.929999999999999,4.929999999999999,4.87,225,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
